=== Hoogland et al. Replication (self-contained) ===
2L attn-only, d=256, 8 heads, softmax, no QK norm
Data: DSIR-filtered Pile (streaming), GPT-2 tokenizer, vocab=5000
Batch: 64, n_ctx: 1024, tokens/step: 65,536
Max steps: 76,293 (5.0B tokens)
Pile val cache exists at /workspace/tensor-mars/workspaces/logan/cached_tokens/dsir_pile_val.pt
Model parameters: 3,086,848 (compiled)
Induction test: 100 seqs, half_len=512, vocab=5000
Token indices sequence length is longer than the specified maximum sequence length for this model (1287 > 1024). Running this sequence through the model will result in indexing errors
  step 18000/76293  loss=5.2364  tokens=1.180B  elapsed=2369s
  step 18100/76293  loss=5.2487  tokens=1.186B  elapsed=2383s
  step 18200/76293  loss=5.2283  tokens=1.193B  elapsed=2396s
  step 18300/76293  loss=5.2069  tokens=1.199B  elapsed=2408s
  step 18400/76293  loss=5.1935  tokens=1.206B  elapsed=2422s
  step 18500/76293  loss=5.2272  tokens=1.212B  elapsed=2436s
  step 18600/76293  loss=5.2102  tokens=1.219B  elapsed=2449s
  step 18700/76293  loss=5.3590  tokens=1.226B  elapsed=2461s
  step 18800/76293  loss=5.2774  tokens=1.232B  elapsed=2474s
  step 18900/76293  loss=5.1866  tokens=1.239B  elapsed=2487s
  step 19000/76293  loss=5.2474  tokens=1.245B  elapsed=2501s
  step 19100/76293  loss=5.1989  tokens=1.252B  elapsed=2513s
  step 19200/76293  loss=5.2332  tokens=1.258B  elapsed=2526s
  step 19300/76293  loss=5.2361  tokens=1.265B  elapsed=2537s
  step 19400/76293  loss=5.1083  tokens=1.271B  elapsed=2550s
  step 19500/76293  loss=5.2272  tokens=1.278B  elapsed=2563s
  step 19600/76293  loss=5.1332  tokens=1.285B  elapsed=2576s
  step 19700/76293  loss=5.2096  tokens=1.291B  elapsed=2591s
  step 19800/76293  loss=5.2199  tokens=1.298B  elapsed=2605s
  step 19900/76293  loss=5.1986  tokens=1.304B  elapsed=2619s
  step 20000/76293  loss=5.1279  tokens=1.311B  elapsed=2632s

  [step 20000, 1.31B tokens] induction_score=-0.0107 1st=10.1177 2nd=10.1284 toy_acc=0.000196 (0.0196%)
  step 20100/76293  loss=5.1891  tokens=1.317B  elapsed=2645s
  step 20200/76293  loss=5.1830  tokens=1.324B  elapsed=2658s
  step 20300/76293  loss=5.2282  tokens=1.330B  elapsed=2671s
  step 20400/76293  loss=5.1711  tokens=1.337B  elapsed=2683s
  step 20500/76293  loss=5.0555  tokens=1.343B  elapsed=2696s
  step 20600/76293  loss=5.2361  tokens=1.350B  elapsed=2709s
  step 20700/76293  loss=5.2733  tokens=1.357B  elapsed=2722s
  step 20800/76293  loss=5.1294  tokens=1.363B  elapsed=2735s
Got disconnected from remote data host. Retrying in 5sec [1/20]
  step 20900/76293  loss=5.1916  tokens=1.370B  elapsed=2756s
  step 21000/76293  loss=5.2381  tokens=1.376B  elapsed=2772s
  step 21100/76293  loss=5.1644  tokens=1.383B  elapsed=2787s
  step 21200/76293  loss=5.2696  tokens=1.389B  elapsed=2802s
  step 21300/76293  loss=5.2109  tokens=1.396B  elapsed=2818s
  step 21400/76293  loss=5.1709  tokens=1.402B  elapsed=2835s
  step 21500/76293  loss=5.4472  tokens=1.409B  elapsed=2851s
  step 21600/76293  loss=5.1119  tokens=1.416B  elapsed=2868s
  step 21700/76293  loss=5.2808  tokens=1.422B  elapsed=2882s
  step 21800/76293  loss=5.1921  tokens=1.429B  elapsed=2897s
  step 21900/76293  loss=5.1647  tokens=1.435B  elapsed=2912s
  step 22000/76293  loss=5.1533  tokens=1.442B  elapsed=2927s
  step 22100/76293  loss=5.1295  tokens=1.448B  elapsed=2942s
  step 22200/76293  loss=5.4015  tokens=1.455B  elapsed=2957s
  step 22300/76293  loss=5.1445  tokens=1.461B  elapsed=2972s
  step 22400/76293  loss=5.1221  tokens=1.468B  elapsed=2985s
  step 22500/76293  loss=5.2239  tokens=1.475B  elapsed=2999s

  [step 22500, 1.47B tokens] induction_score=-0.0095 1st=10.1187 2nd=10.1282 toy_acc=0.000274 (0.0274%)
  step 22600/76293  loss=5.1104  tokens=1.481B  elapsed=3016s
  step 22700/76293  loss=5.2033  tokens=1.488B  elapsed=3031s
  step 22800/76293  loss=5.1734  tokens=1.494B  elapsed=3047s
  step 22900/76293  loss=5.1757  tokens=1.501B  elapsed=3063s
  step 23000/76293  loss=5.0338  tokens=1.507B  elapsed=3080s
  step 23100/76293  loss=5.0737  tokens=1.514B  elapsed=3095s
  step 23200/76293  loss=5.1734  tokens=1.520B  elapsed=3112s
  step 23300/76293  loss=5.2106  tokens=1.527B  elapsed=3125s
  step 23400/76293  loss=5.2133  tokens=1.534B  elapsed=3138s
  step 23500/76293  loss=5.1635  tokens=1.540B  elapsed=3153s
  step 23600/76293  loss=5.1874  tokens=1.547B  elapsed=3169s
  step 23700/76293  loss=5.2223  tokens=1.553B  elapsed=3182s
  step 23800/76293  loss=5.1673  tokens=1.560B  elapsed=3196s
  step 23900/76293  loss=5.1552  tokens=1.566B  elapsed=3213s
  step 24000/76293  loss=5.1214  tokens=1.573B  elapsed=3227s
  step 24100/76293  loss=5.1851  tokens=1.579B  elapsed=3242s
  step 24200/76293  loss=5.2890  tokens=1.586B  elapsed=3259s
  step 24300/76293  loss=5.1386  tokens=1.593B  elapsed=3274s
  step 24400/76293  loss=5.2503  tokens=1.599B  elapsed=3290s
  step 24500/76293  loss=5.2021  tokens=1.606B  elapsed=3305s
  step 24600/76293  loss=5.2997  tokens=1.612B  elapsed=3322s
  step 24700/76293  loss=5.3133  tokens=1.619B  elapsed=3337s
  step 24800/76293  loss=5.3798  tokens=1.625B  elapsed=3351s
  step 24900/76293  loss=5.1221  tokens=1.632B  elapsed=3364s
  step 25000/76293  loss=5.1416  tokens=1.638B  elapsed=3378s

  [step 25000, 1.64B tokens] induction_score=-0.0100 1st=10.1165 2nd=10.1265 toy_acc=0.000254 (0.0254%)
  step 25100/76293  loss=5.1916  tokens=1.645B  elapsed=3393s
