=== Hoogland Variant: ctx=512, d=512 (wider + shorter) ===
2L attn-only, d=512, 16 heads (d_head=32), softmax, no QK norm
Data: DSIR-filtered Pile (streaming), GPT-2 tokenizer, vocab=5000
Batch: 96, n_ctx: 512, tokens/step: 49,152
Max steps: 101,725 (5.0B tokens)
Pile val cache exists at /workspace/tensor-mars/workspaces/logan/cached_tokens/dsir_pile_val_ctx512.pt
Model parameters: 7,222,272 (compiled)
Induction test: 100 seqs, half_len=256, vocab=5000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Token indices sequence length is longer than the specified maximum sequence length for this model (1287 > 1024). Running this sequence through the model will result in indexing errors
  [step 17500, 0.86B tokens] induction_score=-0.0125 1st=10.2707 2nd=10.2831 toy_acc=0.000196 (0.0196%)
  step 17600/101725  loss=5.0302  tokens=0.865B  elapsed=1773s
  step 17700/101725  loss=5.0521  tokens=0.870B  elapsed=1783s
  step 17800/101725  loss=5.0292  tokens=0.875B  elapsed=1792s
  step 17900/101725  loss=5.1253  tokens=0.880B  elapsed=1803s
  step 18000/101725  loss=5.0346  tokens=0.885B  elapsed=1811s
  step 18100/101725  loss=5.0211  tokens=0.890B  elapsed=1818s
  step 18200/101725  loss=5.0530  tokens=0.895B  elapsed=1829s
  step 18300/101725  loss=5.0695  tokens=0.899B  elapsed=1839s
  step 18400/101725  loss=4.9068  tokens=0.904B  elapsed=1848s
  step 18500/101725  loss=5.0030  tokens=0.909B  elapsed=1858s
  step 18600/101725  loss=5.1549  tokens=0.914B  elapsed=1868s
  step 18700/101725  loss=4.9945  tokens=0.919B  elapsed=1877s
  step 18800/101725  loss=4.9833  tokens=0.924B  elapsed=1886s
  step 18900/101725  loss=5.0908  tokens=0.929B  elapsed=1896s
  step 19000/101725  loss=4.8866  tokens=0.934B  elapsed=1906s
  step 19100/101725  loss=5.0064  tokens=0.939B  elapsed=1917s
  step 19200/101725  loss=5.0771  tokens=0.944B  elapsed=1926s
  step 19300/101725  loss=5.0301  tokens=0.949B  elapsed=1936s
  step 19400/101725  loss=4.8354  tokens=0.954B  elapsed=1947s
  step 19500/101725  loss=5.1220  tokens=0.958B  elapsed=1955s
  step 19600/101725  loss=4.9516  tokens=0.963B  elapsed=1965s
  step 19700/101725  loss=5.0395  tokens=0.968B  elapsed=1975s
  step 19800/101725  loss=5.1168  tokens=0.973B  elapsed=1984s
  step 19900/101725  loss=5.0514  tokens=0.978B  elapsed=1994s
  step 20000/101725  loss=5.0083  tokens=0.983B  elapsed=2004s

  [step 20000, 0.98B tokens] induction_score=0.0042 1st=10.0771 2nd=10.0728 toy_acc=0.000235 (0.0235%)
  step 20100/101725  loss=4.9768  tokens=0.988B  elapsed=2015s
  step 20200/101725  loss=5.0249  tokens=0.993B  elapsed=2024s
